state,population,area,pop_density
California,38332521.0,423967.0,90.41
Texas,26448193.0,695662.0,38.02
New York,19651127.0,141297.0,139.08
Florida,19552860.0,170312.0,114.81
New Jersey,9288994.0,25000.0,371.56
Illinois,12882135.0,149995.0,85.88
